,0
class,malware
schemamousedown,1.0
schemamousemove,1.0
schemamouseup,2.0
connection,1.0
adminer,1.0
idf_unescape,14.0
escape_string,2.0
remove_slashes,2.0
bracket_escape,12.0
strtr,2.0
nbsp,11.0
nl_br,3.0
checkbox,13.0
optionlist,14.0
is_string,8.0
lang,270.0
print_fieldset,4.0
bold,8.0
odd,17.0
js_escape,11.0
addcslashes,8.0
json_row,4.0
ini_bool,1.0
sid,1.0
get_vals,12.0
get_key_vals,13.0
get_rows,13.0
unique_array,3.0
where,10.0
idf_escape,147.0
exact_value,7.0
where_check,6.0
where_link,4.0
restart_session,6.0
set_session,8.0
auth_url,1.0
is_ajax,1.0
redirect,6.0
query_redirect,4.0
queries,50.0
apply_queries,13.0
queries_redirect,13.0
remove_from_uri,2.0
get_file,4.0
upload_error,3.0
repeat_pattern,3.0
is_utf8,2.0
shorten_utf8,6.0
friendly_url,4.0
hidden_fields,3.0
hidden_fields_get,4.0
column_foreign_keys,2.0
enum_input,2.0
stripcslashes,3.0
process_input,4.0
array_sum,3.0
search_tables,1.0
limit,13.0
dump_headers,3.0
dump_csv,1.0
apply_sql_function,3.0
password_file,2.0
is_mail,1.0
is_url,2.0
get_lang,1.0
func_get_args,2.0
array_shift,3.0
vsprintf,2.0
switch_lang,2.0
byte,1.0
dsn,1.0
restore_exception_handler,1.0
multi_query,9.0
store_result,10.0
next_result,9.0
result,31.0
fetch_assoc,13.0
fetch_row,13.0
fetch_field,12.0
min_sqlite,4.0
min_result,14.0
quote,13.0
sqlite_libversion,1.0
sqlite_escape_string,1.0
min_db,2.0
get_databases,11.0
limit1,9.0
sqlite_compileoption_used,2.0
db_collation,10.0
engines,10.0
logged_user,9.0
tables_list,14.0
count_tables,10.0
table_status,18.0
is_view,9.0
fk_support,9.0
fields,18.0
table_info,1.0
indexes,15.0
index_list,1.0
index_info,1.0
foreign_keys,13.0
foreign_key_list,1.0
collations,12.0
information_schema,10.0
check_sqlite_name,1.0
